201.0887 	EXP 	Sound  started
201.8960 	EXP 	Sound  stopped
201.8961 	EXP 	Sound  started
202.7039 	EXP 	Sound  stopped
202.7039 	EXP 	Sound  started
203.5116 	EXP 	Sound  stopped
203.5117 	EXP 	Sound  started
204.3200 	EXP 	Sound  stopped
204.3200 	EXP 	Sound  started
205.1280 	EXP 	Sound  stopped
205.1280 	EXP 	Sound  started
205.9355 	EXP 	Sound  stopped
205.9356 	EXP 	Sound  started
206.7438 	EXP 	Sound  stopped
206.7438 	EXP 	Sound  started
207.5517 	EXP 	Sound  stopped
207.5518 	EXP 	Sound  started
208.3590 	EXP 	Sound  stopped
208.3590 	EXP 	Sound  started
209.1672 	EXP 	Sound  stopped
209.1673 	EXP 	Sound  started
209.9751 	EXP 	Sound  stopped
209.9752 	EXP 	Sound  started
210.7834 	EXP 	Sound  stopped
210.7835 	EXP 	Sound  started
211.5909 	EXP 	Sound  stopped
211.5909 	EXP 	Sound  started
212.3972 	EXP 	Sound  stopped
212.3972 	EXP 	Sound  started
213.2051 	EXP 	Sound  stopped
213.2052 	EXP 	Sound  started
214.0122 	EXP 	Sound  stopped
214.0122 	EXP 	Sound  started
214.8199 	EXP 	Sound  stopped
214.8199 	EXP 	Sound  started
215.6267 	EXP 	Sound  stopped
215.6267 	EXP 	Sound  started
216.4341 	EXP 	Sound  stopped
216.4341 	EXP 	Sound  started
217.2412 	EXP 	Sound  stopped
217.2413 	EXP 	Sound  started
218.0491 	EXP 	Sound  stopped
218.0492 	EXP 	Sound  started
218.8574 	EXP 	Sound  stopped
218.8574 	EXP 	Sound  started
219.6652 	EXP 	Sound  stopped
219.6652 	EXP 	Sound  started
220.4723 	EXP 	Sound  stopped
220.4723 	EXP 	Sound  started
221.2808 	EXP 	Sound  stopped
221.2809 	EXP 	Sound  started
222.0884 	EXP 	Sound  stopped
222.0884 	EXP 	Sound  started
222.8956 	EXP 	Sound  stopped
222.8957 	EXP 	Sound  started
223.7038 	EXP 	Sound  stopped
223.7039 	EXP 	Sound  started
224.5116 	EXP 	Sound  stopped
224.5116 	EXP 	Sound  started
225.3195 	EXP 	Sound  stopped
225.3195 	EXP 	Sound  started
226.1278 	EXP 	Sound  stopped
226.1278 	EXP 	Sound  started
226.9344 	EXP 	Sound  stopped
226.9345 	EXP 	Sound  started
227.7420 	EXP 	Sound  stopped
227.7421 	EXP 	Sound  started
228.5492 	EXP 	Sound  stopped
228.5493 	EXP 	Sound  started
229.3569 	EXP 	Sound  stopped
